"uid","domainID","siteID","namedLocation","pointNumber","collectDate","eventID","sampleID","growthForm","taxonID","scientificName","morphospeciesID","morphospeciesIDRemarks","division","class","order","family","genus","section","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identificationQualifier","identificationReferences","remarks","dataQF"
"e2f8f0b5-401f-40c5-86c7-f551f122a887","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",13,"2016-10-11T12:00Z","HOPB.20161011",NA,"","CAREX","Carex sp.",NA,NA,NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"44f228f1-197b-4bc2-836e-51a4c7126516","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",17,"2016-10-11T12:00Z","HOPB.20161011",NA,"emergent","CAREX","Carex sp.",NA,NA,NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"bc6e095a-2924-47b3-a5b4-783db5ad9fdf","D01","HOPB","HOPB.AOS.aquatic.plant.transect.04",15,"2016-10-11T12:00Z","HOPB.20161011",NA,"submerged","AMVA","Amblystegium varium (Hedw.) Lindb.",NA,NA,NA,"Bryopsida","Hypnales","Amblystegiaceae","Amblystegium",NA,"varium",NA,"(Hedw.) Lindb.",NA,NA,NA,NA
"09811edf-260d-4c71-bf35-16463f1848bf","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",2,"2016-10-11T12:00Z","HOPB.20161011",NA,"emergent","CAREX","Carex sp.",NA,NA,NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"0d5c7c79-72b3-45b4-bc6d-3526a49a7959","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",1,"2016-10-11T12:00Z","HOPB.20161011",NA,"emergent","CAREX","Carex sp.",NA,NA,NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"91f09d13-dc45-4582-92fe-54a5be4e25bc","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",18,"2016-10-11T12:00Z","HOPB.20161011",NA,"emergent","CAREX","Carex sp.",NA,NA,NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"ddde25aa-8613-4989-af48-0ab82abf1396","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",20,"2016-10-11T12:00Z","HOPB.20161011",NA,"emergent","HYMU","Hypericum mutilum L.",NA,NA,NA,"Magnoliopsida","Theales","Clusiaceae","Hypericum",NA,"mutilum",NA,"L.",NA,NA,NA,NA
"e135f742-ba7f-4c21-8d76-90ee65cc7e1f","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",19,"2016-10-11T12:00Z","HOPB.20161011",NA,"emergent","MIRI","Mimulus ringens L.",NA,NA,NA,"Magnoliopsida","Scrophulariales","Scrophulariaceae","Mimulus",NA,"ringens",NA,"L.",NA,NA,NA,NA
"5c659ecf-bb19-4a22-be95-7d112747aa35","D01","HOPB","HOPB.AOS.aquatic.plant.transect.01",1,"2017-04-12T09:49Z","HOPB.20170412","HOPB.20170412.GREENTIPS.T1","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"5cdaa156-4515-488f-bdcd-d05e8b68e666","D01","HOPB","HOPB.AOS.aquatic.plant.transect.01",4,"2017-04-12T09:49Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"58fa1d60-a07f-4c30-882b-ac5e8a8f9b58","D01","HOPB","HOPB.AOS.aquatic.plant.transect.01",3,"2017-04-12T09:49Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"3d8ea1fa-f56b-402e-9660-7fbaa074d8c8","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",15,"2017-04-12T10:49Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"da4f68d3-9b2e-476e-83b5-7e972fcb92d1","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",5,"2017-04-12T10:49Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"42585908-ec76-453c-8802-ea3b8532a5c2","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",9,"2017-04-12T10:49Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"5e6a7d7f-412d-40b2-b12e-fbe03e9d2500","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",2,"2017-04-12T10:49Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"05ab2e67-6299-468e-89e9-b3b62c0c15e5","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",22,"2017-04-12T10:49Z","HOPB.20170412","HOPB.20170412.BOSTONLETTUCE.T2","submerged","2PLANT","Unknown plant","BostonLettuce","Small clumps, bright green, leaves lobed, compound? Heart shaped, terminal leaf larger",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"55b57a57-2e4f-47fc-9e71-645d8145872d","D01","HOPB","HOPB.AOS.aquatic.plant.transect.03",18,"2017-04-12T11:29Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"706a8d15-e754-4dbe-8958-921252b9189f","D01","HOPB","HOPB.AOS.aquatic.plant.transect.03",15,"2017-04-12T11:29Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"5a44a144-1bf6-44fa-9def-54d0949c20aa","D01","HOPB","HOPB.AOS.aquatic.plant.transect.03",14,"2017-04-12T11:29Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"9c645e04-57bb-434f-9daf-8cdadd87ba72","D01","HOPB","HOPB.AOS.aquatic.plant.transect.04",14,"2017-04-12T11:56Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"d8cd1c6a-dbf8-430b-bb58-28254a4191b9","D01","HOPB","HOPB.AOS.aquatic.plant.transect.04",20,"2017-04-12T11:56Z","HOPB.20170412","HOPB.20170412.LONGSTEMBRYOPHYTE.T4","emergent","2PLANT","Unknown plant","Longstembryophyte","Long stem, capsule visible, red at base green at tip",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"378efe8f-552d-45a6-878d-a03203ec7211","D01","HOPB","HOPB.AOS.aquatic.plant.transect.04",5,"2017-04-12T11:56Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"3ee7c979-c0f8-4198-8d35-aed83758a955","D01","HOPB","HOPB.AOS.aquatic.plant.transect.04",16,"2017-04-12T11:56Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"b7b527ea-7c18-4daa-836a-77262d9cad2b","D01","HOPB","HOPB.AOS.aquatic.plant.transect.05",21,"2017-04-12T12:40Z","HOPB.20170412","","emergent","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"64fcfc68-5a09-473c-bb41-0abb58a642ab","D01","HOPB","HOPB.AOS.aquatic.plant.transect.07",4,"2017-04-12T12:59Z","HOPB.20170412","HOPB.20170412.HAIRYSTEM.T6","emergent","2PLANT","Unknown plant","Hairystem","Ovate venation grows on sandy patches",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"5e8a5689-9128-4691-90ac-bfaada05134d","D01","HOPB","HOPB.AOS.aquatic.plant.transect.08",17,"2017-04-12T13:34Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"3cc5ddae-b2a0-42ac-bcbf-4ae6b296936e","D01","HOPB","HOPB.AOS.aquatic.plant.transect.08",3,"2017-04-12T13:34Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","Longstembryophyte","Long stem, capsule visible, red at base green at tip",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"24d972f5-9a19-4b7f-a77a-559edf92b086","D01","HOPB","HOPB.AOS.aquatic.plant.transect.08",21,"2017-04-12T13:34Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"2aa33735-973f-4904-af1c-e31e9ed21ea7","D01","HOPB","HOPB.AOS.aquatic.plant.transect.08",3,"2017-04-12T13:34Z","HOPB.20170412","","submerged","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"e36a7869-2914-4acc-8b24-a5c161944311","D01","HOPB","HOPB.AOS.aquatic.plant.transect.09",2,"2017-04-12T14:00Z","HOPB.20170412","","emergent","2PLANT","Unknown plant","GreenTips","Bright green terminal leaves",NA,"","","","",NA,"",NA,"",NA,NA,NA,NA
"6a6db1de-1354-419f-94bb-36dc537719c3","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",6,"2017-04-12T14:30Z","HOPB.20170412","","submerged","CAREX","Carex sp.","","",NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"dd8a96fa-cf0e-41e2-b75e-6bc79212476b","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",1,"2017-04-12T14:30Z","HOPB.20170412","","submerged","CAREX","Carex sp.","","",NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"213db5c2-6b9b-4918-9cad-cc7ebbaecdd9","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",19,"2017-04-12T14:30Z","HOPB.20170412","","submerged","CAREX","Carex sp.","","",NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"92e4f06d-a3b2-4bf9-9fa0-fc1720def549","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",21,"2017-04-12T14:30Z","HOPB.20170412","","submerged","CAREX","Carex sp.","","",NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"da3073be-4d48-44a2-bb1c-3b02bda79525","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",20,"2017-04-12T14:30Z","HOPB.20170412","","submerged","CAREX","Carex sp.","","",NA,"Liliopsida","Cyperales","Cyperaceae","Carex",NA,"sp.",NA,"L.",NA,NA,NA,NA
"eb9ffb6a-cd6e-4c36-9382-5332da9d2d44","D01","HOPB","HOPB.AOS.aquatic.plant.transect.10",18,"2017-04-12T14:30Z","HOPB.20170412","","submerged","FONTI","Fontinalis sp.","","",NA,"Bryopsida","Isobryales","Fontinalaceae","Fontinalis",NA,"sp.",NA,"Hedw.",NA,NA,NA,NA
"2de14f77-cbab-48c1-8aff-360f9450bd76","D01","HOPB","HOPB.AOS.aquatic.plant.transect.01",21,"2017-07-11T13:16Z","HOPB.20170711","HOPB.20170711.HEST5.T1","emergent","HEST5","Herzogiella striatella (Brid.) Z. Iwats.","","",NA,"Bryopsida","Hypnales","Hypnaceae","Herzogiella",NA,"striatella",NA,"(Brid.) Z. Iwats.","","",NA,NA
"7f713d50-f148-43eb-b098-6c17faaf01ae","D01","HOPB","HOPB.AOS.aquatic.plant.transect.01",21,"2017-07-11T13:16Z","HOPB.20170711","HOPB.20170711.NEONTPC35155678.T1","emergent","NEONTPC35155678","Rhynchostegium aquaticum A. Jaeger","","",NA,"Equisetopsida","","Brachytheciaceae","Rhynchostegium",NA,"aquaticum",NA,"A. Jaeger","","McKnight, Common Mosses of the Northeast and Appalachians (2013)",NA,NA
"cca3692b-0576-4b14-b00e-13ff837a14f1","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",5,"2017-07-11T13:40Z","HOPB.20170711","","emergent","NEONTPC35155678","Rhynchostegium aquaticum A. Jaeger","","",NA,"Equisetopsida","","Brachytheciaceae","Rhynchostegium",NA,"aquaticum",NA,"A. Jaeger","","McKnight, Common Mosses of the Northeast and Appalachians (2013)",NA,NA
"d91a8f2f-3f72-43ac-ad76-7acf4a7cdbfd","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",14,"2017-07-11T13:40Z","HOPB.20170711","HOPB.20170711.ACROCARPUSWHITE.T2","emergent","2PLANT","Unknown plant","Acrocarpuswhite","Wet leaves 45 degrees to stem; basal stem leaves brown; on rock that typically not submerged",NA,"","","","",NA,"",NA,"","","",NA,NA
"80e61a80-8f2e-48a8-873d-b1b334089b08","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",21,"2017-07-11T13:40Z","HOPB.20170711","HOPB.20170711.LYCI.T2","emergent","LYCI","Lysimachia ciliata L.","","",NA,"Magnoliopsida","Primulales","Primulaceae","Lysimachia",NA,"ciliata",NA,"L.","","Crow, Aquatic and Wetland Plants of Northeastern North America (2000)",NA,NA
"b92e8c69-f03d-4ba4-b20e-9aea95d5fe63","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",21,"2017-07-11T13:40Z","HOPB.20170711","HOPB.20170711.FEATHERY.T2","emergent","2PLANT","Unknown plant","Feathery","Pleurocarpus; bipinnate; light green",NA,"","","","",NA,"",NA,"","","",NA,NA
"0b819476-01ef-4ffd-9f04-e31e73c80583","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",6,"2017-07-11T13:40Z","HOPB.20170711","","emergent","NEONTPC35155678","Rhynchostegium aquaticum A. Jaeger","","",NA,"Equisetopsida","","Brachytheciaceae","Rhynchostegium",NA,"aquaticum",NA,"A. Jaeger","","McKnight, Common Mosses of the Northeast and Appalachians (2013)",NA,NA
"882f1314-5edc-4aff-b4dc-c7228b99f65d","D01","HOPB","HOPB.AOS.aquatic.plant.transect.02",18,"2017-07-11T13:40Z","HOPB.20170711","","emergent","2PLANT","Unknown plant","Acrocarpuswhite","Wet leaves 45 degrees to stem; basal stem leaves brown; on rock that typically not submerged",NA,"","","","",NA,"",NA,"","","",NA,NA
