"uid","domainID","siteID","namedLocation","collectDate","sampleID","laboratoryName","identifiedBy","qcTaxonomyStatus","identifiedDate","algalType","algalParameter","algalParameterValue","targetTaxaPresent","scientificName","acceptedTaxonID","morphospeciesID","division","class","order","family","genus","section","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identificationQualifier","identificationReferences","taxonRank","sampleCondition","testMethod","method","dataQF","remarks"
"4edba19d-6ffa-459a-8ea7-7c6217f0fc83","D01","HOPB","HOPB.AOS.aquatic.plant.transect.05","2017-07-11T14:55Z","HOPB.20170711.LIVERWORT.T5","David Kofranek Botany, LLC","David Kofranek Botany, LLC",NA,"2019-03-05",NA,"plant",6,"Y","Dermatocarpon luridum (With.) J.R. Laundon","DELU60",NA,NA,"Ascomycetes","Verrucariales","Verrucariaceae","Dermatocarpon",NA,"luridum",NA,"(With.) J.R. Laundon",NA,"Irwin M. Brodo, Sylvia Duran Sharnoff, and Stephen Sharnoff. 2001. Lichens of North America. Yale University Press. 828 pp.; Irwin M. Brodo, Sylvia Duran Sharnoff, and Stephen Sharnoff. 2001. Keys to the Lichens of North America. Yale University Press. 424 pp.","species","Condition OK","Kofranek_plantTaxonomy_V1",NA,NA,"Specimen mostly green when dry and wet, lower surface tan, not papillose but rugose to slightly veined, each lobe with 1 or more umbilicae/hapterae. Apparently sterile material."
"c4759366-f538-4da2-9a48-2a44cce69e8a","D01","HOPB","HOPB.AOS.aquatic.plant.transect.07","2017-10-03T14:37Z","HOPB.20171003.NEONTPC35155678.1","David Kofranek Botany, LLC","David Kofranek Botany, LLC",NA,"2018-05-21",NA,"plant",6,"Y","Platylomella lescurii (Sull.) Andrews","PLLE3",NA,NA,"Bryopsida","Hypnales","Amblystegiaceae","Platylomella",NA,"lescurii",NA,"(Sull.) Andrews",NA,"Flora of North America Editorial Committee. 2014. Flora of North America north of Mexico. Volume 28. Oxford University Press, New York. 702 pp.; http://www.efloras.org/volume_page.aspx?volume_id=1028&flora_id=1 and Crum, H. & L.E. Anderson. 1981. Mosses of Eastern North America. 2 volumes. Columbia University Press, New York. 1328 pp.","species","Condition OK","Kofranek_plantTaxonomy_V1",NA,NA,"Synonyms: Sciaromium lescurii (Sullivant) Brotherus; Amblystegium lescurii (Sullivant) Austin."
"be3fdc30-442f-4bc8-b859-67db259fa89a","D02","LEWI","LEWI.AOS.aquatic.plant.transect.01","2017-03-24T13:07Z","LEWI.20170324.MACROALGAE4.T1","Academy of Natural Sciences of Drexel University","LAycock","original","2018-01-26","Chlorophyta and Charophyta","subjective rating",5,"Y","Spirogyra sp.","NEONDREX533000",NA,"Chlorophyta","Chlorophyceae","Zygnematales","Zygnemataceae","Spirogyra",NA,"sp.",NA,NA,NA,NA,"genus","Condition OK","Drexel_Macroalgae_Identification_Revision0",NA,NA,"Only macroalgae in sample."
"0abd8576-987e-4715-8126-baf3b8d7ce03","D02","LEWI","LEWI.AOS.aquatic.plant.transect.03","2017-03-24T14:26Z","LEWI.20170324.MACROALGAE23.T3","Academy of Natural Sciences of Drexel University","LAycock","original","2018-01-26","Chlorophyta and Charophyta","subjective rating",6,"Y","Spirogyra sp.","NEONDREX533000",NA,"Chlorophyta","Chlorophyceae","Zygnematales","Zygnemataceae","Spirogyra",NA,"sp.",NA,NA,NA,NA,"genus","Condition OK","Drexel_Macroalgae_Identification_Revision0",NA,NA,""
"ea480cad-56f0-43f3-b357-9ae4b534e2bf","D04","GUIL","GUIL.AOS.aquatic.plant.transect.06","2015-05-20T16:00Z","GUIL.20150520.LIVERWORT SP.T6","New York Botanical Garden","W. R. Buck","original","2015-08-19",NA,"plant",NA,"Y","Monoclea gottschei Lindb.","NEONTPC35186637",NA,NA,"Equisetopsida","","Monocleaceae","Monoclea",NA,"gottschei",NA,"Lindb.",NA,NA,"species","Condition OK","NYBG_mossTaxonomy_legacy",NA,"legacyData",NA
"4210b71e-8fc2-4b74-95a3-390961ff3f42","D04","GUIL","GUIL.AOS.aquatic.plant.transect.02","2015-05-20T16:00Z","GUIL.20150520.LIVERWORT SP.T2","New York Botanical Garden","W. R. Buck","original","2015-08-19",NA,"plant",NA,"Y","Marchantia inflexa Nees & Mont.","MAIN18",NA,NA,"Hepaticopsida","Marchantiales","Marchantiaceae","Marchantia",NA,"inflexa",NA,"Nees & Mont.",NA,NA,"species","Condition OK","NYBG_mossTaxonomy_legacy",NA,"legacyData",NA
"d9b71352-8f5b-4689-a609-716ef5965564","D04","GUIL","GUIL.AOS.aquatic.plant.transect.07","2015-05-20T16:00Z","GUIL.20150520.MOSS SP.T7","New York Botanical Garden","W. R. Buck","original","2015-08-19",NA,"plant",NA,"Y","Weissia jamaicensis (Mitt.) Grout","WEJA",NA,NA,"Bryopsida","Pottiales","Pottiaceae","Weissia",NA,"jamaicensis",NA,"(Mitt.) Grout",NA,NA,"species","Condition OK","NYBG_mossTaxonomy_legacy",NA,"legacyData",NA
"77973859-6daf-49ce-8b7a-bd2bf1002733","D04","GUIL","GUIL.AOS.aquatic.plant.transect.04","2015-05-20T16:00Z","GUIL.20150520.LIVERWORT SP.T4","New York Botanical Garden","W. R. Buck","original","2015-08-19",NA,"plant",NA,"Y","Marchantia inflexa Nees & Mont.","MAIN18",NA,NA,"Hepaticopsida","Marchantiales","Marchantiaceae","Marchantia",NA,"inflexa",NA,"Nees & Mont.",NA,NA,"species","Condition OK","NYBG_mossTaxonomy_legacy",NA,"legacyData",NA
"c7123953-c108-4436-b04c-b6d005085952","D04","GUIL","GUIL.AOS.aquatic.plant.transect.02","2018-07-02T13:11Z","GUIL.20180702.ELEL.T2","University of West Alabama","Keener, B.R.",NA,"2019-06-19",NA,"plant",6,"Y","Eleocharis elegans (Kunth) Roem. & Schult.","ELEL",NA,NA,"Liliopsida","Cyperales","Cyperaceae","Eleocharis",NA,"elegans",NA,"(Kunth) Roem. & Schult.",NA,"Brunton, D.F, J.R. Campbell, and A.A. Reznicek. 2018. Eleocharis elegans (CYPERACEAE new to Florida and possible native addition to the flora of the United States. J. Bot. Res. Inst. Texas 12(1): 249-255.","species","Condition OK","UWA_plantTaxonomy_20180202",NA,NA,"The shipping manifest provided the sampleID to be 'GUIL.20180702.ELEL.T2' but the sampleID on the specimens is 'GUIL.20180702.ELEL.T4"
"2656e941-2b73-48e6-9617-24442fca6122","D04","GUIL","GUIL.AOS.aquatic.plant.transect.02","2018-07-02T13:11Z","GUIL.20180702.NAOF.T2","University of West Alabama","Keener, B.R.",NA,"2019-06-19",NA,"plant",6,"Y","Nasturtium officinale W.T. Aiton","NAOF",NA,NA,"Magnoliopsida","Capparales","Brassicaceae","Nasturtium",NA,"officinale",NA,"W.T. Aiton",NA,"Flora of North America Editorial Committee, eds. 1993+. Flora of North America North of Mexico. 20+ vols. New York and Oxford.","species","Condition OK","UWA_plantTaxonomy_20180202",NA,NA,""
