table,fieldName,description,dataType,units,downloadPkg
bet_expertTaxonomistIDRaw,uid,"Unique ID within NEON database; an identifier for the record",string,NA,expanded
bet_expertTaxonomistIDRaw,namedLocation,"Name of the measurement location in the NEON database",string,NA,expanded
bet_expertTaxonomistIDRaw,domainID,"Unique identifier of the NEON domain",string,NA,expanded
bet_expertTaxonomistIDRaw,siteID,"NEON site code",string,NA,expanded
bet_expertTaxonomistIDRaw,plotID,"Plot identifier (NEON site code_XXX)",string,NA,expanded
bet_expertTaxonomistIDRaw,setDate,"Date that trap was set",dateTime,NA,expanded
bet_expertTaxonomistIDRaw,collectDate,"Date of the collection event",dateTime,NA,expanded
bet_expertTaxonomistIDRaw,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,expanded
bet_expertTaxonomistIDRaw,individualID,"Domain-level unique identifier for an individual: NEON.MOD.D##.######",string,NA,expanded
bet_expertTaxonomistIDRaw,taxonID,"Species code, based on one or more sources",string,NA,expanded
bet_expertTaxonomistIDRaw,kingdom,"The scientific name of the kingdom in which the taxon is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,phylum,"The scientific name of the phylum or division in which the taxon is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,class,"The scientific name of the class in which the taxon is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,order,"The scientific name of the order in which the taxon is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,family,"The scientific name of the family in which the taxon is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,subfamily,"The scientific name of the subfamily in which the organism is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,tribe,"The scientific name of the tribe in which the taxon is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,genus,"The scientific name of the genus in which the organism is classified",string,NA,expanded
bet_expertTaxonomistIDRaw,subgenus,"The scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion",string,NA,expanded
bet_expertTaxonomistIDRaw,specificEpithet,"The specific epithet (second part of the species name) of the scientific name applied to the taxon",string,NA,expanded
bet_expertTaxonomistIDRaw,infraspecificEpithet,"The infraspecific epithet (scientific name below the rank of species) of the scientific name applied to the taxon",string,NA,expanded
bet_expertTaxonomistIDRaw,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,expanded
bet_expertTaxonomistIDRaw,scientificNameAuthorship,"Name of the individual(s) who designated the scientific name of the taxon",string,NA,expanded
bet_expertTaxonomistIDRaw,identificationQualifier,"A standard term to express the determiner's doubts about the Identification",string,NA,expanded
bet_expertTaxonomistIDRaw,sex,"M for male, F for female, U for unknown",string,NA,expanded
bet_expertTaxonomistIDRaw,morphospeciesID,"Identifier for morphospecies",string,NA,expanded
bet_expertTaxonomistIDRaw,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded
bet_expertTaxonomistIDRaw,identifiedBy,"An identifier for the technician who identified the specimen",string,NA,expanded
bet_expertTaxonomistIDRaw,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,expanded
bet_expertTaxonomistIDRaw,identificationRemarks,"Comments or notes about the identification",string,NA,expanded
bet_expertTaxonomistIDRaw,sampleCondition,"Condition of a sample",string,NA,expanded
bet_expertTaxonomistIDRaw,remarks,"Technician notes; free text comments accompanying the record",string,NA,expanded
bet_expertTaxonomistIDProcessed,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
bet_expertTaxonomistIDProcessed,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
bet_expertTaxonomistIDProcessed,domainID,"Unique identifier of the NEON domain",string,NA,basic
bet_expertTaxonomistIDProcessed,siteID,"NEON site code",string,NA,basic
bet_expertTaxonomistIDProcessed,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
bet_expertTaxonomistIDProcessed,setDate,"Date that trap was set",dateTime,NA,basic
bet_expertTaxonomistIDProcessed,collectDate,"Date of the collection event",dateTime,NA,basic
bet_expertTaxonomistIDProcessed,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,basic
bet_expertTaxonomistIDProcessed,individualID,"Domain-level unique identifier for an individual: NEON.MOD.D##.######",string,NA,basic
bet_expertTaxonomistIDProcessed,taxonID,"Species code, based on one or more sources",string,NA,basic
bet_expertTaxonomistIDProcessed,kingdom,"The scientific name of the kingdom in which the taxon is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,phylum,"The scientific name of the phylum or division in which the taxon is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,class,"The scientific name of the class in which the taxon is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,order,"The scientific name of the order in which the taxon is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,family,"The scientific name of the family in which the taxon is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,subfamily,"The scientific name of the subfamily in which the organism is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,tribe,"The scientific name of the tribe in which the taxon is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,genus,"The scientific name of the genus in which the organism is classified",string,NA,basic
bet_expertTaxonomistIDProcessed,subgenus,"The scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion",string,NA,basic
bet_expertTaxonomistIDProcessed,specificEpithet,"The specific epithet (second part of the species name) of the scientific name applied to the taxon",string,NA,basic
bet_expertTaxonomistIDProcessed,infraspecificEpithet,"The infraspecific epithet (scientific name below the rank of species) of the scientific name applied to the taxon",string,NA,basic
bet_expertTaxonomistIDProcessed,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic
bet_expertTaxonomistIDProcessed,scientificNameAuthorship,"Name of the individual(s) who designated the scientific name of the taxon",string,NA,basic
bet_expertTaxonomistIDProcessed,taxonRank,"The lowest level taxonomic rank that can be determined for the individual or specimen",string,NA,basic
bet_expertTaxonomistIDProcessed,identificationQualifier,"A standard term to express the determiner's doubts about the Identification",string,NA,basic
bet_expertTaxonomistIDProcessed,sex,"M for male, F for female, U for unknown",string,NA,basic
bet_expertTaxonomistIDProcessed,morphospeciesID,"Identifier for morphospecies",string,NA,basic
bet_expertTaxonomistIDProcessed,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,basic
bet_expertTaxonomistIDProcessed,identifiedBy,"An identifier for the technician who identified the specimen",string,NA,basic
bet_expertTaxonomistIDProcessed,nativeStatusCode,"The process by which the taxon became established in the location",string,NA,basic
bet_expertTaxonomistIDProcessed,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,basic
bet_expertTaxonomistIDProcessed,identificationRemarks,"Comments or notes about the identification",string,NA,basic
bet_expertTaxonomistIDProcessed,sampleCondition,"Condition of a sample",string,NA,basic
bet_expertTaxonomistIDProcessed,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
bet_archivepooling,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
bet_archivepooling,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
bet_archivepooling,domainID,"Unique identifier of the NEON domain",string,NA,basic
bet_archivepooling,siteID,"NEON site code",string,NA,basic
bet_archivepooling,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
bet_archivepooling,setDate,"Date that trap was set",dateTime,NA,basic
bet_archivepooling,collectDate,"Date of the collection event",dateTime,NA,basic
bet_archivepooling,processingDate,"Date that sample was processed (i.e., sorted or pinned) in the domain lab",dateTime,NA,basic
bet_archivepooling,subsampleIDList,"List of subsampleIDs",string,NA,basic
bet_archivepooling,subsampleCode,"Barcode of a subsample",string,NA,basic
bet_archivepooling,archiveVialID,"Identifier for the vial containing specimens for archive",string,NA,basic
bet_archivepooling,archiveSampleCode,"Barcode of archive sample",string,NA,basic
bet_archivepooling,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic
